metric,importance_mean,importance_std,rank_mean,rank_std,top3_rate
off_eff_diff,75.08743121258962,2.2210632384322007,1.0,0.0,1.0
def_eff_edge,49.470592632955544,1.7686774680453607,2.3,0.674948557710553,0.9
underdog_three_point_rate,48.055269344888885,1.4945916562191959,3.2,0.7888106377466155,0.6
site_advantage,47.28535009527397,0.9394615140771021,3.5,0.5270462766947297,0.5
underdog_tempo_diff,3.2745843079788735,0.3483149050613744,5.0,0.0,0.0
tov_rate_edge,0.6403820169509555,0.5014086480018319,6.3,0.4830458915396479,0.0
three_point_pct_diff,0.40992253817574725,0.12533259411149528,6.7,0.4830458915396479,0.0
underdog_a_offense_vs_b_defense,0.0923038949715767,0.0808425685487285,8.7,1.2516655570345725,0.0
a_offense_vs_b_defense,0.030662767753713793,0.0322019957248019,9.6,1.0749676997731399,0.0
seed_edge,0.015541243861607578,0.03502769389962854,10.0,1.0540925533894598,0.0
b_offense_vs_a_defense,0.018360833803001735,0.024647967780490315,10.3,1.1595018087284057,0.0
seed_a_offense_vs_b_defense,0.0195991107965025,0.0420448756916687,11.4,1.2649110640673513,0.0
