label,mean_predicted_probability,fraction_positives
ensemble_alpha_0.00,0.08054821129262427,0.25
ensemble_alpha_0.00,0.1559573306171006,0.2
ensemble_alpha_0.00,0.24724200051697542,0.18181818181818182
ensemble_alpha_0.00,0.3521729358660453,0.2608695652173913
ensemble_alpha_0.00,0.46038199923222445,0.47368421052631576
ensemble_alpha_0.00,0.5403020725757135,0.5714285714285714
ensemble_alpha_0.00,0.6418854767141716,0.7222222222222222
ensemble_alpha_0.00,0.7470523186056343,0.8
ensemble_alpha_0.00,0.8488738973962915,0.8
ensemble_alpha_0.00,0.9208350411572392,0.6666666666666666
ensemble_alpha_0.50,0.08590792672168379,0.0
ensemble_alpha_0.50,0.16270283667857877,0.14285714285714285
ensemble_alpha_0.50,0.2529243134979653,0.25
ensemble_alpha_0.50,0.35728650941877055,0.3181818181818182
ensemble_alpha_0.50,0.45465331965158534,0.36
ensemble_alpha_0.50,0.5439631131126903,0.6153846153846154
ensemble_alpha_0.50,0.6424080551969961,0.7
ensemble_alpha_0.50,0.7442547467203655,0.7857142857142857
ensemble_alpha_0.50,0.8383010692002516,0.8333333333333334
ensemble_alpha_0.50,0.9105171941919314,1.0
ensemble_alpha_1.00,0.17115673028018408,0.25
ensemble_alpha_1.00,0.2603470912842269,0.2
ensemble_alpha_1.00,0.35805986081405616,0.2777777777777778
ensemble_alpha_1.00,0.45117921405497885,0.34285714285714286
ensemble_alpha_1.00,0.549110599750179,0.6216216216216216
ensemble_alpha_1.00,0.652041049197302,0.8235294117647058
ensemble_alpha_1.00,0.7449219279471968,0.8
ensemble_alpha_1.00,0.8312879762166402,0.6666666666666666
ensemble_alpha_0.00,0.0728824930876196,0.0
ensemble_alpha_0.00,0.14995984412224733,0.2
ensemble_alpha_0.00,0.24637031574821391,0.3157894736842105
ensemble_alpha_0.00,0.34509591947596346,0.35714285714285715
ensemble_alpha_0.00,0.4465336628636581,0.3333333333333333
ensemble_alpha_0.00,0.549722129328286,0.6
ensemble_alpha_0.00,0.6573918029606627,0.6428571428571429
ensemble_alpha_0.00,0.7471665295171259,0.7692307692307693
ensemble_alpha_0.00,0.8364018448851406,0.7142857142857143
ensemble_alpha_0.00,0.9295498951116647,1.0
ensemble_alpha_0.50,0.08045033636491417,0.0
ensemble_alpha_0.50,0.15471319161380645,0.1111111111111111
ensemble_alpha_0.50,0.26091436247254907,0.35294117647058826
ensemble_alpha_0.50,0.34065014653589964,0.1875
ensemble_alpha_0.50,0.44689863211416014,0.4090909090909091
ensemble_alpha_0.50,0.5460374069910112,0.5454545454545454
ensemble_alpha_0.50,0.6476009953903996,0.8125
ensemble_alpha_0.50,0.7467489729246333,0.625
ensemble_alpha_0.50,0.8388519555444062,0.9166666666666666
ensemble_alpha_0.50,0.9263270470840371,1.0
ensemble_alpha_1.00,0.09317182292935373,0.0
ensemble_alpha_1.00,0.16611437170221444,0.0
ensemble_alpha_1.00,0.2654384554903228,0.3076923076923077
ensemble_alpha_1.00,0.34714088974501095,0.19047619047619047
ensemble_alpha_1.00,0.4519023700599456,0.44
ensemble_alpha_1.00,0.5460948217417783,0.5555555555555556
ensemble_alpha_1.00,0.6495595011983597,0.7777777777777778
ensemble_alpha_1.00,0.7436534356045221,0.75
ensemble_alpha_1.00,0.8523991704316788,1.0
ensemble_alpha_1.00,0.9055510083152543,1.0
ensemble_alpha_0.00,0.05899112369855049,0.0
ensemble_alpha_0.00,0.17055244705736955,0.1
ensemble_alpha_0.00,0.24332674723088876,0.0625
ensemble_alpha_0.00,0.3638252102773657,0.2857142857142857
ensemble_alpha_0.00,0.448467689527925,0.47368421052631576
ensemble_alpha_0.00,0.5522508825699268,0.5909090909090909
ensemble_alpha_0.00,0.6421130506299957,0.6153846153846154
ensemble_alpha_0.00,0.7611404354321013,0.8823529411764706
ensemble_alpha_0.00,0.846239198781609,1.0
ensemble_alpha_0.00,0.9562778869943473,1.0
ensemble_alpha_0.50,0.06739940175165542,0.0
ensemble_alpha_0.50,0.1777021468793575,0.125
ensemble_alpha_0.50,0.2469041720326389,0.058823529411764705
ensemble_alpha_0.50,0.3647863643841722,0.2857142857142857
ensemble_alpha_0.50,0.4491258183113384,0.45
ensemble_alpha_0.50,0.5493797957842929,0.5909090909090909
ensemble_alpha_0.50,0.6344372109578524,0.6153846153846154
ensemble_alpha_0.50,0.754019803386278,0.8947368421052632
ensemble_alpha_0.50,0.8412223725017692,1.0
ensemble_alpha_0.50,0.9506719315470853,1.0
ensemble_alpha_1.00,0.07148667460271306,0.0
ensemble_alpha_1.00,0.16846641443164953,0.0
ensemble_alpha_1.00,0.24839301492244886,0.10526315789473684
ensemble_alpha_1.00,0.3634379172095101,0.23076923076923078
ensemble_alpha_1.00,0.4477550309265989,0.45454545454545453
ensemble_alpha_1.00,0.5527378568971265,0.56
ensemble_alpha_1.00,0.6403226676458047,0.7272727272727273
ensemble_alpha_1.00,0.7445319764710873,0.8888888888888888
ensemble_alpha_1.00,0.8282505251600129,1.0
ensemble_alpha_1.00,0.9450659760998231,1.0
