label,mean_predicted_probability,fraction_positives
baseline_compact_c0.2_raw,0.05270136779106428,0.2222222222222222
baseline_compact_c0.2_raw,0.13927383478641012,0.0
baseline_compact_c0.2_raw,0.24711405478878462,0.2857142857142857
baseline_compact_c0.2_raw,0.33788470915010055,0.35294117647058826
baseline_compact_c0.2_raw,0.4653419450308785,0.47368421052631576
baseline_compact_c0.2_raw,0.5346580549691213,0.5263157894736842
baseline_compact_c0.2_raw,0.6621152908498993,0.6470588235294118
baseline_compact_c0.2_raw,0.7528859452112152,0.7142857142857143
baseline_compact_c0.2_raw,0.8607261652135898,1.0
baseline_compact_c0.2_raw,0.9472986322089356,0.7777777777777778
baseline_compact_c0.2_temperature_scaled,0.07152928579208916,1.0
baseline_compact_c0.2_temperature_scaled,0.13258486964848124,0.0
baseline_compact_c0.2_temperature_scaled,0.2474254536452394,0.09090909090909091
baseline_compact_c0.2_temperature_scaled,0.36249308692567256,0.3181818181818182
baseline_compact_c0.2_temperature_scaled,0.45962255088082843,0.42857142857142855
baseline_compact_c0.2_temperature_scaled,0.5403774491191714,0.5714285714285714
baseline_compact_c0.2_temperature_scaled,0.6375069130743274,0.6818181818181818
baseline_compact_c0.2_temperature_scaled,0.7525745463547605,0.9090909090909091
baseline_compact_c0.2_temperature_scaled,0.8674151303515186,1.0
baseline_compact_c0.2_temperature_scaled,0.9284707142079108,0.0
baseline_compact_c0.2_raw,0.04191951488916391,0.0
baseline_compact_c0.2_raw,0.14521731384456277,0.23076923076923078
baseline_compact_c0.2_raw,0.25535524166123247,0.23529411764705882
baseline_compact_c0.2_raw,0.3569205407397744,0.5384615384615384
baseline_compact_c0.2_raw,0.4505028377953674,0.375
baseline_compact_c0.2_raw,0.549497162204633,0.625
baseline_compact_c0.2_raw,0.6430794592602259,0.46153846153846156
baseline_compact_c0.2_raw,0.7446447583387679,0.7647058823529411
baseline_compact_c0.2_raw,0.8547826861554374,0.7692307692307693
baseline_compact_c0.2_raw,0.9580804851108361,1.0
baseline_compact_c0.2_temperature_scaled,0.05763915802273559,0.0
baseline_compact_c0.2_temperature_scaled,0.1562808362129004,0.125
baseline_compact_c0.2_temperature_scaled,0.2585398800288802,0.2857142857142857
baseline_compact_c0.2_temperature_scaled,0.352666111114139,0.2631578947368421
baseline_compact_c0.2_temperature_scaled,0.4529771820324624,0.43478260869565216
baseline_compact_c0.2_temperature_scaled,0.5470228179675378,0.5652173913043478
baseline_compact_c0.2_temperature_scaled,0.6473338888858613,0.7368421052631579
baseline_compact_c0.2_temperature_scaled,0.74146011997112,0.7142857142857143
baseline_compact_c0.2_temperature_scaled,0.8437191637870995,0.875
baseline_compact_c0.2_temperature_scaled,0.9423608419772646,1.0
baseline_compact_c0.2_raw,0.052816252850429,0.0
baseline_compact_c0.2_raw,0.16945874923160406,0.0
baseline_compact_c0.2_raw,0.24701572553572657,0.09090909090909091
baseline_compact_c0.2_raw,0.3488437707845051,0.22727272727272727
baseline_compact_c0.2_raw,0.437576420385096,0.42105263157894735
baseline_compact_c0.2_raw,0.5624235796149046,0.5789473684210527
baseline_compact_c0.2_raw,0.6511562292154953,0.7727272727272727
baseline_compact_c0.2_raw,0.7529842744642739,0.9090909090909091
baseline_compact_c0.2_raw,0.8305412507683961,1.0
baseline_compact_c0.2_raw,0.9471837471495712,1.0
baseline_compact_c0.2_temperature_scaled,0.050779473899708744,0.0
baseline_compact_c0.2_temperature_scaled,0.13931542343192604,0.0
baseline_compact_c0.2_temperature_scaled,0.2600781651021856,0.09090909090909091
baseline_compact_c0.2_temperature_scaled,0.3522106015597251,0.15789473684210525
baseline_compact_c0.2_temperature_scaled,0.4400588395254424,0.37037037037037035
baseline_compact_c0.2_temperature_scaled,0.5599411604745582,0.6296296296296297
baseline_compact_c0.2_temperature_scaled,0.6477893984402753,0.8421052631578947
baseline_compact_c0.2_temperature_scaled,0.7399218348978146,0.9090909090909091
baseline_compact_c0.2_temperature_scaled,0.8606845765680743,1.0
baseline_compact_c0.2_temperature_scaled,0.9492205261002913,1.0
baseline_compact_c0.5_raw,0.05268423690680438,0.2222222222222222
baseline_compact_c0.5_raw,0.13924719580637268,0.0
baseline_compact_c0.5_raw,0.24709217572544886,0.2857142857142857
baseline_compact_c0.5_raw,0.33787169383110777,0.35294117647058826
baseline_compact_c0.5_raw,0.4653369594526396,0.47368421052631576
baseline_compact_c0.5_raw,0.5346630405473606,0.5263157894736842
baseline_compact_c0.5_raw,0.6621283061688923,0.6470588235294118
baseline_compact_c0.5_raw,0.7529078242745513,0.7142857142857143
baseline_compact_c0.5_raw,0.8607528041936273,1.0
baseline_compact_c0.5_raw,0.9473157630931957,0.7777777777777778
baseline_compact_c0.5_temperature_scaled,0.07150037077315749,1.0
baseline_compact_c0.5_temperature_scaled,0.1325570978373666,0.0
baseline_compact_c0.5_temperature_scaled,0.24739993576932023,0.09090909090909091
baseline_compact_c0.5_temperature_scaled,0.3624787377863681,0.3181818181818182
baseline_compact_c0.5_temperature_scaled,0.4596193680688697,0.42857142857142855
