Season,DayNum,WinnerTeamID,WinnerScore,LoserTeamID,LoserScore,WinnerLocation,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,EstimatedPossessions,GameDateLabel
2026,0,1103,85,1241,71,H,0,27,63,8,25,23,29,12,21,15,8,10,6,13,24,61,11,29,12,13,9,21,14,17,5,9,22,73.975,2026-Day000
2026,0,1104,91,1315,62,H,0,31,58,8,27,21,27,8,33,22,15,8,7,15,24,62,5,20,9,17,4,18,13,10,11,1,19,76.95,2026-Day000
2026,0,1112,93,1196,87,N,0,30,61,2,5,31,38,12,26,15,13,8,5,22,30,70,7,27,20,30,15,21,15,14,9,2,23,81.65,2026-Day000
2026,0,1116,109,1380,77,H,0,37,73,10,28,25,29,14,28,23,9,10,4,18,27,69,12,27,11,24,11,21,10,12,3,3,20,81.5875,2026-Day000
2026,0,1117,89,1325,85,A,0,27,56,10,27,25,28,12,27,13,18,6,2,27,31,63,8,26,15,22,6,14,11,10,4,1,19,76.375,2026-Day000
2026,0,1120,95,1126,90,H,1,31,68,6,23,27,38,12,25,15,11,10,4,12,35,70,12,23,8,9,8,24,18,12,9,9,24,81.6625,2026-Day000
2026,0,1123,75,1418,64,H,0,24,46,8,15,19,28,4,24,15,10,6,2,12,25,59,9,28,5,9,8,19,13,12,6,4,23,66.2875,2026-Day000
2026,0,1124,96,1410,81,H,0,32,65,11,30,21,32,11,28,18,11,6,5,13,30,61,11,27,10,11,2,23,16,12,7,2,27,78.2125,2026-Day000
2026,0,1125,79,1102,63,H,0,26,55,6,22,21,25,7,14,16,8,8,1,15,24,47,8,21,7,9,8,22,15,18,7,2,18,64.575,2026-Day000
2026,0,1131,76,1318,75,A,1,28,61,6,28,14,20,10,24,12,13,10,6,21,26,60,5,19,18,26,10,23,9,12,9,3,18,73.925,2026-Day000
2026,0,1132,83,1402,48,H,0,31,58,10,22,11,16,7,25,16,12,11,2,10,21,54,3,17,3,7,5,20,10,16,4,4,18,69.4625,2026-Day000
2026,0,1137,78,1174,70,H,0,28,62,10,24,12,14,10,27,14,13,7,4,20,25,64,9,27,11,18,11,19,12,12,10,5,17,72.6,2026-Day000
2026,0,1138,85,1379,79,H,0,24,53,12,30,25,36,13,16,16,8,8,4,18,27,50,6,18,19,20,7,21,17,13,6,3,27,65.3,2026-Day000
2026,0,1140,71,1437,66,N,0,26,66,5,17,14,21,10,25,10,3,4,5,13,24,67,10,35,8,15,9,31,12,11,2,1,20,72.55,2026-Day000
2026,0,1141,82,1111,66,H,0,30,58,8,18,14,17,11,28,16,10,3,4,26,21,59,10,27,14,29,16,16,13,7,7,3,18,64.425,2026-Day000
