seed_matchup,games,predicted_higher_seed_win,actual_higher_seed_win,calibration_gap
1 vs 10,1,0.8111654185523061,1.0,-0.18883458144769394
1 vs 11,3,0.9145657201998111,0.6666666666666666,0.24789905353314445
1 vs 12,1,0.932483614174753,1.0,-0.067516385825247
1 vs 16,28,0.9543991831951418,0.9285714285714286,0.02582775462371323
1 vs 2,8,0.5680182947053367,0.875,-0.3069817052946633
1 vs 3,8,0.7396097470697095,0.875,-0.1353902529302905
1 vs 4,11,0.753887859688867,0.7272727272727273,0.026615132416139664
1 vs 5,12,0.7612801732693834,0.6666666666666666,0.09461350660271672
1 vs 6,1,0.8986141507411053,1.0,-0.10138584925889471
1 vs 8,11,0.7662910246181507,0.7272727272727273,0.03901829734542339
1 vs 9,16,0.8975974359532266,0.9375,-0.03990256404677339
10 vs 11,1,0.6257531269646208,1.0,-0.3742468730353792
11 vs 14,2,0.47433407991298715,1.0,-0.5256659200870129
12 vs 13,1,0.4670135035273752,1.0,-0.5329864964726247
2 vs 10,11,0.8273111037510912,0.8181818181818182,0.009129285569272949
2 vs 11,5,0.8504283123027193,0.6,0.25042831230271934
2 vs 12,1,0.9650543792782807,1.0,-0.03494562072171925
2 vs 15,28,0.9007256395655227,0.8928571428571429,0.007868496708379746
2 vs 3,12,0.577780085970067,0.5,0.07778008597006703
2 vs 4,1,0.7220094560646072,1.0,-0.2779905439353928
2 vs 5,3,0.5564123200557419,0.3333333333333333,0.2230789867224086
2 vs 6,3,0.719850892012469,0.6666666666666666,0.05318422534580236
2 vs 7,14,0.7468174979018202,0.7142857142857143,0.03253178361610587
2 vs 8,1,0.8400583181307257,0.0,0.8400583181307257
3 vs 10,1,0.8607626709224449,1.0,-0.13923732907755515
3 vs 11,12,0.7817064487452575,0.5833333333333334,0.19837311541192415
3 vs 14,28,0.8114501284182022,0.9285714285714286,-0.11712130015322642
3 vs 15,2,0.9152732632327546,0.5,0.4152732632327546
3 vs 4,1,0.5271396711883204,0.0,0.5271396711883204
3 vs 6,15,0.6023745582906758,0.6666666666666666,-0.06429210837599086
3 vs 7,2,0.7256687953219594,1.0,-0.2743312046780406
3 vs 9,2,0.5885523618192745,0.5,0.0885523618192745
4 vs 11,1,0.8306578510899916,0.0,0.8306578510899916
4 vs 12,9,0.6982314379777371,0.8888888888888888,-0.19065745091115172
4 vs 13,28,0.725796864554057,0.75,-0.02420313544594299
4 vs 5,14,0.5456959662266521,0.5714285714285714,-0.025732605201919334
4 vs 6,1,0.6376161891724443,1.0,-0.36238381082755566
4 vs 8,2,0.7588225131744581,0.5,0.25882251317445815
4 vs 9,2,0.7654665226313393,0.0,0.7654665226313393
5 vs 12,28,0.66057629299186,0.6428571428571429,0.017719150134717143
5 vs 13,6,0.6952450741534116,1.0,-0.30475492584658836
5 vs 6,1,0.47837871721362346,1.0,-0.5216212827863765
5 vs 9,2,0.5336675032560069,0.5,0.03366750325600687
6 vs 11,28,0.6596273173042295,0.5357142857142857,0.12391303158994382
6 vs 15,1,0.7694020810191393,1.0,-0.23059791898086068
6 vs 7,1,0.5778756208838498,1.0,-0.4221243791161502
7 vs 10,27,0.6153291903221307,0.5925925925925926,0.022736597729538177
7 vs 11,1,0.6640803176154443,0.0,0.6640803176154443
7 vs 15,3,0.7863219894995881,0.0,0.7863219894995881
8 vs 12,1,0.8802478050778788,0.0,0.8802478050778788
8 vs 15,1,0.7841192956784387,1.0,-0.21588070432156126
8 vs 9,28,0.5813538960586067,0.35714285714285715,0.2242110389157495
9 vs 11,1,0.4501716291079058,0.0,0.4501716291079058
9 vs 16,2,0.8143936836731214,1.0,-0.18560631632687863
